Text,Sentiment,cleaned_text
like is said....don't fight the jungle. AMZN,1,like saiddont fight jungle amzn
"Didn't plan on holding these MSFT Apr. calls overnight again, but when do things ever go as planned?",1,didnt plan holding msft apr call overnight thing ever go planned
AMZN a fool's errand,1,amzn fool errand
"Tops- :  HPQ (-3,17%) &  CSCO (-1,38%)",-1,top hpq csco
Jeff Bezo's the wizard...it's all about Gross Margins and theirs are getting less gross...AMAZON reads Wall Street's minds AMZN,-1,jeff bezos wizardits gross margin getting less grossamazon read wall street mind amzn
"Boy if aapl had beat I would be having a hell of a January :) ... ahhhh, the markets !",1,boy aapl beat would hell january ahhhh market
user: Solar Stock Sector Bottoming... TAN TS FS STP  ,1,user solar stock sector bottoming tan t f stp
Market loves AMZN for showing its middle finger to Dumb Media,1,market love amzn showing middle finger dumb medium
CHK  Confirming the expectation.  Other set ups that I like:  IMM COST AAP etc.  ,1,chk confirming expectation set ups like imm cost aap etc
"ed Weekly Triangle on SNSS,....Net Profit  16,644.00 (9.17%)  ",-1,ed weekly triangle snssnet profit
AMZN has spent 15 yrs not caring about qtr to qtr. Others can't turned on a dime and say we do that from now on.,1,amzn spent yr caring qtr qtr others cant turned dime say
"user: IMM I love to short, They are just revealing a phone (that everyone has seen it does not make you younger) think ip5 aapl",-1,user imm love short revealing phone everyone seen make younger think ip aapl
PCN up 8 points since this short call on ST - 700 so close - magic number will break it hard down same way did up - 10 more pts to go,-1,pcn point since short call st close magic number break hard way pt go
GOOG patience still here - mkt goes red big so does this,-1,goog patience still mkt go red big
user: XOM - target 89.50 - mkt goes red big tomorrow so does this - lead the pack down,-1,user xom target mkt go red big tomorrow lead pack
"If you've been playing poker for half an hour and you still don't know who the patsy is, you're the patsy.? Buffett on AMZN shorties",1,youve playing poker half hour still dont know patsy youre patsy buffett amzn shorties
"Market Wrap Video + Additions to Watch ist  including: FS, JCP, , NAVB, VMC",1,market wrap video addition watch ist including f jcp navb vmc
"AMZN, Hunting elephants,,,a plan, patience, execution, patience, and more patience...  ",-1,amzn hunting elephantsa plan patience execution patience patience
"Speaking of vehicles, this going on my bucket list DE HOG #Harley #Deere #love their new venture!  ",1,speaking vehicle going bucket list de hog harley deere love new venture
MCS triggered last week and is pulling back on lighter volume so watch for reversal by support   ,1,mc triggered last week pulling back lighter volume watch reversal support
"Man AMZN is so great, even the Fed is hosted on an ec2 instance.",1,man amzn great even fed hosted ec instance
BAC See some negative price action here tomorrow most likely.,-1,bac see negative price action tomorrow likely
From Nasdaq site : NVDA NVIDIA Building iPhone and iPad Competitors   ,1,nasdaq site nvda nvidia building iphone ipad competitor
Bought NH to open . ooks like a new trend,1,bought nh open ooks like new trend
FS from watch list just over line with volume of 8% of full day average   ,1,f watch list line volume full day average
SD thx user - daily   ,1,sd thx user daily
"been talking CSOD, keep your eye on it today",1,talking csod keep eye today
"From user: Hess has two proposed plans for unlocking value, and either looks promising for investors. HES  ",1,user hess two proposed plan unlocking value either look promising investor he
NGT Dumping pop on #FED JPM and CB intervention in  GD SV GDX HI GOX GDXJ,-1,ngt dumping pop fed jpm cb intervention gd sv gdx hi gox gdxj
"AA BA HD Top + Dow Jones: Alcoa (+0,84%) & Boeing (+0,54%)",1,aa ba hd top dow jones alcoa boeing
IMM lol AAP-tlye presentation - get creative guys,-1,imm lol aaptlye presentation get creative guy
MOT CBI on top watchlist waiting for vol MOT above .50 and CBI over 1.68 see what happens,1,mot cbi top watchlist waiting vol mot cbi see happens
stopped out of CS at 28.50 from 28.71 earlier sorry for the delay,-1,stopped c earlier sorry delay
"Green Weekly Triangle on GTE,...Net Profit  4,333.00 (3.14%)  ",1,green weekly triangle gtenet profit
KEX Option Traders continue bullish trading in the stock buying a net 589K deltas in the first hour of trading  ,1,kex option trader continue bullish trading stock buying net k delta first hour trading
like to see more volume but I'm leaning toward CBI off the BPAX profit taking moving into CBI see what happens buystop at 1.67,1,like see volume im leaning toward cbi bpax profit taking moving cbi see happens buystop
"iding FIE down, lots to go",-1,iding fie lot go
My hot money canary DDD and SSYS reversing lower...,-1,hot money canary ddd ssys reversing lower
VXY AAP bottom looks in - Add FAS here #FED-Short more VXY acct vacuum cleaner - GDP is OD Sandy news - We have relief funds in now,-1,vxy aap bottom look add fa fedshort vxy acct vacuum cleaner gdp od sandy news relief fund
"NS should start to slide here just like HF, that MM that was shut down in KY is having ramifications imo, longs getting nervous...",-1,n start slide like hf mm shut ky ramification imo longs getting nervous
"BT Cortos en Peabody Energy si cae bajo 25,40. Stop loss 25,76.",-1,bt cortos en peabody energy si cae bajo stop loss
"user: BT Short in Peabody Energy if goes bellow 25,40. Stop loss 25,76.",-1,user bt short peabody energy go bellow stop loss
"user: BT Cortos en Peabody Energy si cae bajo 25,40. Stop loss 25,76.",-1,user bt cortos en peabody energy si cae bajo stop loss
MGAM on watchlist (no position)  ,1,mgam watchlist position
NGT GDX GDXJ Short GOD & Miners into FOMC - JPM notes,-1,ngt gdx gdxj short god miner fomc jpm note
"Same story, different day...eaders lagging, aggards eading as ES_F fighting off bears. AKS QIH Y EN KOS   ",-1,story different dayeaders lagging aggards eading es_f fighting bear ak qih en ko
DEPO bouncing from the 50% Fibo line & breaking out 6.70 resistance line all indicators BISH  ,1,depo bouncing fibo line breaking resistance line indicator bish
HEB ripping up 23% now in that one .25 to .305 still holding,1,heb ripping one still holding
Seems AAP is losing strength to go higher.,-1,seems aap losing strength go higher
AAP Added to my short,-1,aap added short
 from watch list on volume of 50% of ave full day a bit over line  ,1,watch list volume ave full day bit line
AAP DownTend seem confirmed after broken the triangle...,-1,aap downtend seem confirmed broken triangle
You have to wonder where Fidelity Contrafund added more where they reduced their AAP. It sure looks like GOOG,1,wonder fidelity contrafund added reduced aap sure look like goog
FIO im in ONG for 24 - 28  untill March 2013,1,fio im ong untill march
NGT Nice bounce off gap fill... good to reshort into JPM move,-1,ngt nice bounce gap fill good reshort jpm move
CF if we open green here tomorrow we should see test to 40 looking to be setting up again.,1,cf open green tomorrow see test looking setting
GOOG I expect a new 52 week highs in the coming weeks.,1,goog expect new week high coming week
Two trades I'm eying GOOG and GD.,1,two trade im eying goog gd
"COMPQ on a mission to 52 Week Highs...With,...or Without... AAP. Juuuuust aaaanooootherrrrrr 1.35%. You can do it!!! ES_F",1,compq mission week highswithor without aap juuuuust aaaanooootherrrrrr es_f
AAP GOOG FB IMM - IM dies to reinvent BlackBerry Z10   ,1,aap goog fb imm im dy reinvent blackberry z
bgcp nice range break in the works here.   ,1,bgcp nice range break work
GOOG is hitting its head on the up trend line it broke I like 755 puts GOOG130201P755 at 2.60  ,-1,goog hitting head trend line broke like put googp
FIO huge Mar calls Volume  ONG,1,fio huge mar call volume ong
"AAP - fired sell signal on hourly, targets 435 area - just shorted it",-1,aap fired sell signal hourly target area shorted
user: AAP Ok... this action makes no sense. >>>> Yes it make Sense : ook  Daily Volume since 3 days ...,-1,user aap ok action make sense yes make sense ook daily volume since day
AAP HOW DAE THEY ONY 38% Profit Margin on 50 BIION/yr!! and a huge bank balance..  Insanity waiting for FB100,1,aap dae ony profit margin biionyr huge bank balance insanity waiting fb
AAP - stock is down 17% from the start of the year.  If you are an institution do you want this on your books at the end of the month?,-1,aap stock start year institution want book end month
user: AAP stop kidding yourself . there is no support around here,-1,user aap stop kidding support around
"AAP if AAP closes below 455.01, i plan to swing a few puts into the next couple days...",-1,aap aap close plan swing put next couple day
user: AAP Gap down for sure tommorow,-1,user aap gap sure tommorow
"Oh QCOM, you are a thing of beauty!",1,oh qcom thing beauty
"FIO 15.35 I'm in, I'll ride this one a while, overdone IMHO",1,fio im ill ride one overdone imho
FIO crushed 20%,-1,fio crushed
BYD hopefully VS beat will help this stuck stock move on up.,1,byd hopefully v beat help stuck stock move
CAT 100 roll and poss bearish bat  ,1,cat roll poss bearish bat
AAP Sinking in after-hour.. Get eady to gap Down  Tomorrow Morning !,-1,aap sinking afterhour get eady gap tomorrow morning
yhoo Blackrock increases position SC 13 G filed today. 70 million shares . 5.94%,1,yhoo blackrock increase position sc g filed today million share
"Green Weekly Triangle on PBY,....pdating  ",-1,green weekly triangle pbypdating
user: Buffett  isn't interested in AAP at this valuation? too much profit and dead capital sitting in a bank overseas ;),1,user buffett isnt interested aap valuation much profit dead capital sitting bank overseas
user Just an opportunity to buy IMHO BAC was 11.70 monday in pre-market,1,user opportunity buy imho bac monday premarket
AVNW Over 3.78 then 3.89  ,1,avnw
Has anyone shorted KEX? What price?,-1,anyone shorted kex price
GV Over 2.80  ,1,gv
F Over 7.88  ,1,f
San Diego was rocking today....QCOM and BOFI ...Banking and chips. Not the safe bet in 2008...,1,san diego rocking todayqcom bofi banking chip safe bet
KEY has been holding at support 9.07 but facing resistance at 9.50. On watch.  ,1,key holding support facing resistance watch
FIO ong! & Add! Q2 2013 earnings of 0.13 per share on Jan-30-2013. This beat the 0.08 consensus of the 19 analysts covering the company.,1,fio ong add q earnings per share jan beat consensus analyst covering company
"FIO Turner Investments and Calamos Advisors purchases in the current quarter at 7.2M shares, 9.32% of it. Blackrock doubled position at 8%",1,fio turner investment calamos advisor purchase current quarter share blackrock doubled position
A Q4 2012 operational cash flow 35million down from 141mil in Q42011 ..75% decline Q4 vs. Q4....,-1,q operational cash flow million mil q decline q v q
A Q4 net income 50 million and operational cash flow 35 million. Q4 2012 is OPS 70% of EPS...in Q4 2011 OPS was 440% higher than EPS,-1,q net income million operational cash flow million q ops epsin q ops higher eps
A year end accounts payable increased 43% from 100million to 143million,-1,year end account payable increased million million
FIO azard Capital upgraded Fusion-io to Buy from Neutral with a 23 price,1,fio azard capital upgraded fusionio buy neutral price
A few names with a Dark Cloud Cover candle pattern: MHO Y SAFT FXS,-1,name dark cloud cover candle pattern mho saft fxs
"MCP still mining for asteroids, short update   ",-1,mcp still mining asteroid short update
A few names with a Bearish Engulfing candle pattern: AEX AFG ASFI ATHN BECN TMH GW FO MHK IBN CS AOS BT AIXG JBHT NHI,-1,name bearish engulfing candle pattern aex afg asfi athn becn tmh gw fo mhk ibn c aos bt aixg jbht nhi
"user KiwiS hello friend, did you see CSN pre-market today, untouchable situation!",-1,user kiwi hello friend see csn premarket today untouchable situation
More names with a Bearish Engulfing candle pattern:IBT BECN AYI HCG MO SG MP EG BMS CEN WIE INE,-1,name bearish engulfing candle patternibt becn ayi hcg mo sg mp eg bm cen wie ine
Trade Ideas for Today  MS ONXX NVE BGCP  ,1,trade idea today m onxx nve bgcp
VXY GS JPM HFT PPT Window Dressing programs online,-1,vxy g jpm hft ppt window dressing program online
Published ZNGA estimate on Estimize: +0.02 EPS and +6.09M evs compared to Wall Street's consensus.  ,1,published znga estimate estimize eps ev compared wall street consensus
AAP 600 lot bid in the weekly 460C at 2.73. 44 delta could temporarily push stock up or create support,1,aap lot bid weekly c delta could temporarily push stock create support
CAT Bullish MACD crossover.,1,cat bullish macd crossover
I am calling on CSN for a ed MONTHY Triangle open ong position at 1.65,1,calling csn ed monthy triangle open ong position
JVA 7.25 TZOO 21.50 IDCC 43.35 CF 37 BT 25 looking good here,1,jva tzoo idcc cf bt looking good
"the man who got me in A at 47 user: A  Nice bounce off of support, after a 25% decline!   ",1,man got user nice bounce support decline
AAP break of 453.63 should see retest of 435 lows and lower fairly soon thereafter.,-1,aap break see retest low lower fairly soon thereafter
"NFX Netflix, Inc. (NFX) Increased Debt Causes Concern [EPOT]  ",-1,nfx netflix inc nfx increased debt cause concern epot
"VIX rising, eaders lagging & reversing on vol, laggards leading, speculative names climaxing. Don't ignore warnings. DDD SODA Y FB",-1,vix rising eaders lagging reversing vol laggard leading speculative name climaxing dont ignore warning ddd soda fb
CBMX B/O smart money coming in this afternoon looking for a push to 200day this low float could 6 by the end of wk little resistance there,1,cbmx bo smart money coming afternoon looking push day low float could end wk little resistance
user: Apple AAP Is it Time to econsider a Stock Split?  10:1 would solve this problem FOEVE!,1,user apple aap time econsider stock split would solve problem foeve
Four Bearish Canaries In the Bullish Coal Mine  AAP TIP KOS SPY,-1,four bearish canary bullish coal mine aap tip ko spy
AAP --  mac world maybe TC will anounce the i-time-machine... boom we are all rich again!,1,aap mac world maybe tc anounce itimemachine boom rich
"K: ong  53.69. Trailing Stop  53.24 from 3 prior Stops of 52.16, 51.25 and 51.05 -  ",1,k ong trailing stop prior stop
fnsr great intraday look..,1,fnsr great intraday look
PCN Just trying to keep it simple and potentially capture the primary trend.  ,1,pcn trying keep simple potentially capture primary trend
PM 1H. hold 2/3 til close monday PM (21 bars) and 3PM on wednesday (34 bars) for the balance.  ,1,pm h hold til close monday pm bar pm wednesday bar balance
"user: AN AutoNation Stoploss in 47.46, after beating 47.90",1,user autonation stoploss beating
VS is breaking out !!  ,1,v breaking
i'd short AAP right here if I wanted to put more positions on. (455.51),-1,id short aap right wanted put position
APO - Short setup off the 50DMA in a weak group. Downside 15.50 initially.  ,-1,apo short setup dma weak group downside initially
KSS has been on a nice uptrend since bottoming out in early January.  Picked up some for my roth around 43.50. Slow mover but 50 possible.,1,ks nice uptrend since bottoming early january picked roth around slow mover possible
"TIVO BY!  Price action? Check - breaking out above 12.95. Volume?  Check, 2x avg.",1,tivo price action check breaking volume check x avg
AT Declining growth & margins. Head & Shoulders setup. PE contraction Downside Price Target 25.  ,-1,declining growth margin head shoulder setup pe contraction downside price target
AMZN ooks like the stock has topped out for now. Today is another distribution day.  ,-1,amzn ooks like stock topped today another distribution day
A Did you Know.... YHOO is down 1.5% for month of January,1,know yhoo month january
The second best Steve...Steve Wynn on tap today  - after the bell - and netsuite (enterprise)  N WYNN,1,second best stevesteve wynn tap today bell netsuite enterprise n wynn
Gap backfill in FIE?,-1,gap backfill fie
NFX Keep in mind that 500 lot offered in the 150P at 7.75. Stock was at 163.70 when he offered now at 167 ook for him if stock goes dwn,1,nfx keep mind lot offered p stock offered ook stock go dwn
ASGN from the watch list is at the line on volume of 81% of ave full day   ,1,asgn watch list line volume ave full day
"OCZ pleasantly surprised that FIO results did not affect this one more.  Shook me out of 1/2 my position, but still bullish",1,ocz pleasantly surprised fio result affect one shook position still bullish
user Not yet sir... The jury is still out on ANA. CSN is plain old fraud!!!,1,user yet sir jury still ana csn plain old fraud
AMZN I am riding the remaining positions with stop  above 290. ooks like the chickens are coming home to roost.,-1,amzn riding remaining position stop ooks like chicken coming home roost
yhoo Business Insider post about yhoo out this afternoon. would be beautiful if aapl met with Marissa,1,yhoo business insider post yhoo afternoon would beautiful aapl met marissa
GV of new buys this was the largest % gainer today - also was a fav as it was a pullback reversal  ,1,gv new buy largest gainer today also fav pullback reversal
user Tried to buy a ange over and got frustrated. Very ong EBAY,1,user tried buy ange got frustrated ong ebay
WYNN aises Dividend from 0.50 to 1/Share >> CC was quite bullish on all fronts & analysts seen enthused,1,wynn aises dividend share cc quite bullish front analyst seen enthused
TPX my move is in play - motion to 35 then 33 and will cover,-1,tpx move play motion cover
CEE this is about to tip over the edge and go over the falls target 39,-1,cee tip edge go fall target
"user ots of ppl r making the move to Samsung, I was going to EWY as AAP started reducing ipad screen size & calling them new models.",-1,user ots ppl r making move samsung going ewy aap started reducing ipad screen size calling new model
"Watching A DMND for low entry points. A replaced CSCO with the State of California, C and CS contracts. May see some pops later on",1,watching dmnd low entry point replaced csco state california c c contract may see pop later
"user Class action against DE may be the reason. Search: Mohan, et al. v Dell Inc Case for details.",-1,user class action de may reason search mohan et al v dell inc case detail
"IACI short setup, bear flag up into neckline from last week  ",-1,iaci short setup bear flag neckline last week
"Green Weekly Triangle on SHO,....pdating and Scaling Down  ",-1,green weekly triangle shopdating scaling
Market Wrap Video + Additions to Watch ist  including: BYD INFN JNP SE TGH HS,1,market wrap video addition watch ist including byd infn jnp se tgh h
Video Analysis of our 16% 3 day trade by shorting AMZN  ,-1,video analysis day trade shorting amzn
What are you thinking on a GOOG entry? A close above 765 or 776 ?,1,thinking goog entry close
zzzactly user: Watch as China has grown to become Apple's second-biggest market:  AAP (long),1,zzzactly user watch china grown become apple secondbiggest market aap long
ESPN 30 and 30 is magical.  Serious family entertainment.  The future of content and TV and web is so bright mixed well DIS,1,espn magical serious family entertainment future content tv web bright mixed well dis
wow TV is underrated and underloved....looking at stock prices I am sick that I missed this hate trade in 2009 .. CBS DIS,1,wow tv underrated underlovedlooking stock price sick missed hate trade cbs dis
INFN  Over 7.20  ,1,infn
The AAP drop will stop only when Wall Street and sellers stop fearing the margin drop...take a look  ,1,aap drop stop wall street seller stop fearing margin droptake look
High quality stocks producing pocket pivot points on Thursday: ABT GPN ASGN OCN MTH OY NGVC WEC TY WYNN VS PFMT TTS STDY,1,high quality stock producing pocket pivot point thursday abt gpn asgn ocn mth oy ngvc wec ty wynn v pfmt tt stdy
TM - ahhh! stupid prelim results! short but wanted to add puts before earnings...,-1,tm ahhh stupid prelim result short wanted add put earnings
user: AAP 40 minutes to get it over 460 pre-market !  ot of fools will B toast !,-1,user aap minute get premarket ot fool b toast
"ES,SPY  You wont here this on CNBC,,,real time assessment of jobs number mkt reactions...  ",-1,esspy wont cnbcreal time assessment job number mkt reaction
N from watch list with a big gap up this morning   ,1,n watch list big gap morning
MS from watch list at the line with volume of 4% ave full day   ,1,m watch list line volume ave full day
ESI from watch list at the lower of 2 lines on volume of 11% of full day average  ,1,esi watch list lower line volume full day average
F from watch list at the line with volume of 4% of full day average  ,1,f watch list line volume full day average
AAP PMI Manufacturing Index ---> In Few minutes...,-1,aap pmi manufacturing index minute
AAP If PMI Manufacturing Index eslts are Bad = Below 450 ???,-1,aap pmi manufacturing index eslts bad
AAP no longer trending finally ppl get the hint. The growth and innovation story is over... PT 375 fair value,-1,aap longer trending finally ppl get hint growth innovation story pt fair value
user EMN Eastman Stoploss in 72.31 after beating 72.98,1,user emn eastman stoploss beating
JCC and VNG at 3 right in my wheel house,1,jcc vng right wheel house
user: AAP How come the spy goes up daily and AAPl down //  No More Growth !!!,-1,user aap come spy go daily aapl growth
GOOG will make new highs soon. Surprisingly option premiums are very cheap.,1,goog make new high soon surprisingly option premium cheap
GME really nice pop today after that intraday reversal yesterday afternoon,1,gme really nice pop today intraday reversal yesterday afternoon
AAP Nothings goes Straight Down or Straight High.. It's the Main Trend AND Volume you have to look for...,-1,aap nothing go straight straight high main trend volume look
"user: AAP people think growth slowing  is not true bec this quarter was only 13 weeks,?// ook Year Over Year for Same Quarter.",-1,user aap people think growth slowing true bec quarter week ook year year quarter
GOOG only 10 points away from new hold time highs. This market leader continues to lead  ,1,goog point away new hold time high market leader continues lead
user EMN Eastman Stoploss in 72.91 after beating 73.56. Eastman Stoploss en 72.91 tras batir 73.56,1,user emn eastman stoploss beating eastman stoploss en tras batir
DPZ looks ready to break out for the next leg up,1,dpz look ready break next leg
WFM building out a nice bull flag here  ,1,wfm building nice bull flag
user: AAP rookies are selling today  Mest loose OTof  being Stubborn !,-1,user aap rookie selling today mest loose otof stubborn
user: the right thing to do was to stop out of AAP and flip short// Ther is OTHES Stock Better.. nless  are AEADY Short,-1,user right thing stop aap flip short ther othes stock better nless aeady short
AAP Cracked !!!,-1,aap cracked
AIG looking for entry here.,1,aig looking entry
Nailed GOOG today.,1,nailed goog today
"user: AAP lets go 425,  (sorry longs, im long also)// r iht 425 annd IF consolidate for 3-5 Week After Bullish",-1,user aap let go sorry longs im long also r iht annd consolidate week bullish
"Switched my ATHX gains on ASTM. ASTM average TP is 4,07. 1% chance of bankrupcty  ONG",1,switched athx gain astm astm average tp chance bankrupcty ong
user EMN Eastman Stoploss in 73.46 after beating 73.85. Eastman Stoploss en 73.46 tras batir 73.85,1,user emn eastman stoploss beating eastman stoploss en tras batir
KEX the break of the 8.49 secondary price was your obvious signal...,-1,kex break secondary price obvious signal
EAP nice upgrade and cross over 50 ma,1,eap nice upgrade cross
OVTI moving out of long base to the upside  ,1,ovti moving long base upside
BAC 11.85 in sight... ;-),1,bac sight
"ed Weekly Triangle on CB,......Net Profit  1,797.00 (3.44%)  ",-1,ed weekly triangle cbnet profit
"Green Weekly Triangle on CB,....Open Sell Short at 3.38  ",-1,green weekly triangle cbopen sell short
SBX Solid move today continuing uptrend and holding above support to close the week  ,1,sbx solid move today continuing uptrend holding support close week
DGI poised to break 30's.,1,dgi poised break
AMZN delivering awesomeness every single day. Prime ocks. I am not biased ;-),1,amzn delivering awesomeness every single day prime ocks biased
QQQ with the Qs breaking above it basing pattern today I expect GOOG to hit 800 withing the next 2 weeks!!!!,1,qqq q breaking basing pattern today expect goog hit withing next week
AAP don't touch it unless we get a close above 465 with volume (Earnings gap).,-1,aap dont touch unless get close volume earnings gap
VP Drummond of GOOG sells 190 shares. He can be an outstanding trader based on his timing.,1,vp drummond goog sell share outstanding trader based timing
user: AAP back to 450 i guess for a pin,-1,user aap back guess pin
ACTG was a top pick for earnings  starting to breakout. ook for 27.50 soon.  ,1,actg top pick earnings starting breakout ook soon
AAP aw of Attraction & Newton Sem to Win Again,-1,aap aw attraction newton sem win
eality will hit NKD. eiterated as Sell and worth just over 80 per share. PT based on discounted cash flow analysis  ,-1,eality hit nkd eiterated sell worth per share pt based discounted cash flow analysis
"QCOM looking good here for a long, yesterday's close as stop",1,qcom looking good long yesterday close stop
AAP I agree 450 pin Afternoon !,-1,aap agree pin afternoon
GOOG lookin good,1,goog lookin good
"GOOG with need a bit more time to break 775, we might get it by EOD though.",1,goog need bit time break might get eod though
"DNDN waking up, almost GO TIME here!",1,dndn waking almost go time
NFX as I said before...it feel like another distribution day.....  ,-1,nfx said beforeit feel like another distribution day
guess what happens to those chasing SYNM...,-1,guess happens chasing synm
COST Confirming beautifully here.  52 week high magnet.  Others I like today:  IMM MNX WCG WT  ,1,cost confirming beautifully week high magnet others like today imm mnx wcg wt
AJ starting to really move; moving stop up again  ,1,aj starting really move moving stop
AAP To much peaks on either side (up or Down) #Broken Good 4 Trade but not for investment IMHO,-1,aap much peak either side broken good trade investment imho
"AAP Almost every long will want to goo out for the Week-End, Nobody wnat to be caught 350-400 for months...",-1,aap almost every long want goo weekend nobody wnat caught month
VSN pulling out of the station,1,vsn pulling station
user: AAP 450 pin??  Yep !! 450.00 Pin,-1,user aap pin yep pin
AAP emember last Friday in the last 5 minutes APP Collapsing !,-1,aap emember last friday last minute app collapsing
long some MENT I like the Cup and Handle pattern. Earnings aren't till late Feb.  ,1,long ment like cup handle pattern earnings arent till late feb
"Big Block Trade Alert: IG, 2/1/13, 11:26 AM, 504260 shares SOD  6.50",-1,big block trade alert ig share sod
user: AMPE bouncing after 8-day sell off.  Estimates of how high?,1,user ampe bouncing day sell estimate high
AAP Will Pin  450 or bellow..,-1,aap pin bellow
CA like the volume in this up move; entry 22.64 stop 21.55  ,1,ca like volume move entry stop
Scaling into VT Mar 25s calls right now. ight for now. ooks Good. Watch for volume next week.   ,1,scaling vt mar call right ight ooks good watch volume next week
SWHC Swing Trade Quick Pick: Smith & Wesson |   ,1,swhc swing trade quick pick smith wesson
AAP Closed my short for 1K Will short ater again till gap will be Filled -HAve a Nice Week-End to all G ! :-),-1,aap closed short k short ater till gap filled nice weekend g
SCM Scaling my short,-1,scm scaling short
FIO this action in this super strong tape = Not bullish...,-1,fio action super strong tape bullish
3 calls for 2day. SPY and GOOG makes new highs and GS goes above 149+. All came to fruition. Market has been kind 2 me.,1,call day spy goog make new high g go came fruition market kind
"user: NBS strong financials, more contracts for Progenitor in pipeline, approval for AM-001 expected, this is the sacred cow of 2013 ",1,user nb strong financials contract progenitor pipeline approval expected sacred cow
"BIG With a strong SI & an improving OBV, I have a feeling that it will break higher shortly.   ",1,big strong si improving obv feeling break higher shortly
"PEIX strong volume w indicators moving up.Once 0.398 breaks, resist to watch 0.418 followed by 0.43  ",1,peix strong volume w indicator moving uponce break resist watch followed
"TQNT had a great day on Friday. TQNT not only had momentum, it had also strong volume. ong setup.  ",1,tqnt great day friday tqnt momentum also strong volume ong setup
Currently long: ANA FB HES BBY WCX VSN,1,currently long ana fb he bby wcx vsn
C its about eckitt Benckiser (no ticker here?): met equal dist.tgt bearish weekly candle. down.  ,-1,c eckitt benckiser ticker met equal disttgt bearish weekly candle
"AAP is having a hard time at the moment with the 8dsma line, will continue to watch this one.  ",-1,aap hard time moment dsma line continue watch one
"#13for2013 INVN still the leading gainer - shed 5% this week, profit taking in overbought market   ",1,invn still leading gainer shed week profit taking overbought market
California Water Service Group CWT aises Annual Dividend for 46th Consecutive Year | P/E 18.17 | Yield: 3.18,1,california water service group cwt aises annual dividend th consecutive year pe yield
First ever  purchase..splurged on a new mat for Bikram (I hear frond green is hot w/ the ladies -->  via user,1,first ever purchasesplurged new mat bikram hear frond green hot w lady via user
Great analysis of PNA  ,1,great analysis pna
COH Monthly h+s getting closer to snapping neckline  ,-1,coh monthly h getting closer snapping neckline
"user: QCOM, Friday's lows provided a nice back-test of B/O level  ",1,user qcom friday low provided nice backtest bo level
AAP has come so far that the gap fill at 425 fits the Eiffel tower analogy. Need 2 search Eiffel on my site if  don't know what it is?,-1,aap come far gap fill fit eiffel tower analogy need search eiffel site dont know
"CEG daily rejected at Fibextension of the bat, with short ter h+s. Wait to setup user   ",-1,ceg daily rejected fibextension bat short ter h wait setup user
user: Commented on: Zynga: eady For eal-Money Games And Improving On The Cost Side  ZNGA // #TENDEVESA,1,user commented zynga eady ealmoney game improving cost side znga tendevesa
System Flags Buys: AT BAC BDN GFI IPG JCI M S TS VVS,1,system flag buy bac bdn gfi ipg jci t vvs
WMT breaking out of channel + All MAs are lining up in upward direction.   ,1,wmt breaking channel ma lining upward direction
"GTXI long 5.16, will take early assuming no gap, SPY green & detect above avg vol  ",1,gtxi long take early assuming gap spy green detect avg vol
"If you have OII, short. They have over 1B in liabilities, not cash.",-1,oii short b liability cash
"AMZN SI and MACD, suggesting further downside to near-term support in the region of 260 ( 50ema )  ",-1,amzn si macd suggesting downside nearterm support region ema
ATI is in Breakout mode for Monday. It cleared its 200EMA on high volume + Bullish MACD cross. ong  ,1,ati breakout mode monday cleared ema high volume bullish macd cross ong
"A GOOD TIME TO STEP BACK AND CONSIDE THE BIG PICTE, ES,YM,TF,SPY,S,C,EC,JY, ",-1,good time step back conside big picte esymtfspyscecjy
Anyone follow CST? earnings Feb 7th AMC looks interesting here off 50day under 50/share may get a bid into the report on #WATCHIST,1,anyone follow cst earnings feb th amc look interesting day share may get bid report watchist
GAE long 1.82 1.83 1.84 target 2.00+,1,gae long target
SEV nicely green on red market,1,sev nicely green red market
JNP from watch list near first line   ,1,jnp watch list near first line
FFIV looking like it wants to breakout today,1,ffiv looking like want breakout today
Good eye... user: FDX broke resistance. ooks to continue its bullish trend  ,1,good eye user fdx broke resistance ooks continue bullish trend
PEIX long .45,1,peix long
PEIX long more going to .50+,1,peix long going
GAE buying more 1.83,1,gae buying
SCM Going to tank real soon IMO,-1,scm going tank real soon imo
"GME GameStop's Tony Bartel Announces Shift Toward Mobile (Audio). ong after beating 25,24. Stoploss 25,11.  ",1,gme gamestops tony bartel announces shift toward mobile audio ong beating stoploss
M Patent Could pset  AAP. ong in M after beating 7.97. Stoploss 7.86  ,1,patent could pset aap ong beating stoploss
user: M Patent Could pset  AAP. ong in M after beating 7.97. Stoploss 7.86  ,1,user patent could pset aap ong beating stoploss
bot SYNM .52 bot PEIX .435,1,bot synm bot peix
"NFX asym tri formed up here, waiting for resolution to make a trade  ",1,nfx asym tri formed waiting resolution make trade
"NN average TP is 1,5 Could easily come back to 0,8. HODING ONG",1,nn average tp could easily come back hoding ong
CEE that was short at 43.83 target 43 lower,-1,cee short target lower
NVAX interesting on that level. Now just over an P trend line from June. Could be a good entry point with a close stop loss,1,nvax interesting level p trend line june could good entry point close stop loss
ZCS bounced on 50 day,1,zcs bounced day
ZCS feel bad for those stop-losses that got taken out,1,zcs feel bad stoplosses got taken
AAP No kidding Terranova!,-1,aap kidding terranova
